sex,sex_orientation,race,edu,coverage,citizen,income_sqrt,cluster,X,Y
Male,Bisexual,White,High school graduate,Not covered,US Citizen,187.08286933869707,6,-2.1906759489785594,1.9508773366929577
Female,Bisexual,Hispanic,"Some college, no degree",Not covered,US Citizen,159.53056133543816,5,-0.8075629460764077,-5.1187230357381415
Female,Bisexual,White,Associate degree,Not covered,US Citizen,141.4213562373095,6,-1.146503179528218,-1.0738056243347123
Female,Bisexual,Black/African American,High school graduate,Not covered,US Citizen,331.66247903554,5,-2.344446690405201,-3.2016634190922204
Male,Bisexual,White,Less than a high school diploma,Not covered,US Citizen,380.7886552931954,6,-1.6641470980312538,1.3847967461372181
Male,Bisexual,White,Associate degree,Not covered,US Citizen,111.80339887498948,6,-2.435821023488028,0.6856056001818774
Male,Bisexual,Black/African American,Associate degree,Not covered,US Citizen,70.71067811865476,6,-2.8150732881376666,-0.11182055993466902
Female,Bisexual,Black/African American,"Some college, no degree",Not covered,US Citizen,69.2820323027551,5,-1.506710729621219,-4.302995317577762
Female,Bisexual,White,High school graduate,Not covered,US Citizen,101.9803902718557,8,-1.4008301659534874,-1.5733178208836585
Male,Bisexual,White,High school graduate,Not covered,US Citizen,141.4213562373095,6,-2.192132230885452,1.8772658553922013
Female,Bisexual,Black/African American,"Some college, no degree",Not covered,US Citizen,172.8583234906552,5,-1.694940796353656,-4.400165875422492
Female,Bisexual,Hispanic,"Some college, no degree",Not covered,US Citizen,134.16407864998737,5,-0.7738094393998867,-5.107048938879273
Female,Bisexual,Black/African American,"Some college, no degree",Not covered,US Citizen,218.963467272511,5,-1.82966732723247,-4.39090679566986
Male,Bisexual,White,Bachelor's degree,Not covered,US Citizen,134.16407864998737,6,-2.179109793132718,1.1398477113929355
Female,Bisexual,American Indian and Alaska Native,"Some college, no degree",Not covered,US Citizen,148.32396974191326,5,-0.7453236662528535,-4.4327163557170275
Male,Bisexual,White,Associate degree,Not covered,US Citizen,207.3644135332772,6,-2.4768731355335354,0.8540084453915908
Male,Bisexual,White,"Some college, no degree",Not covered,US Citizen,309.83866769659335,7,-3.191291841179208,1.5664461779841428
Male,Gay/Lesbian,White,Associate degree,Covered,US Citizen,158.11388300841898,2,0.18441346942567255,6.700043972891406
Male,Gay/Lesbian,Black/African American,High school graduate,Covered,US Citizen,279.28480087537883,9,-0.1141090611079269,5.147903316858088
Female,Gay/Lesbian,White,Doctoral degree,Covered,US Citizen,354.96478698597696,3,7.401220274448714,-0.7678299140679097
Male,Gay/Lesbian,White,Associate degree,Covered,US Citizen,200,2,0.24288336042597647,6.6942226784427445
Male,Gay/Lesbian,White,Master's degree,Covered,US Citizen,254.95097567963924,2,0.274246672035551,7.748847613241242
Female,Gay/Lesbian,White,"Some college, no degree",Covered,US Citizen,282.842712474619,9,7.0538350117590705,-2.7188265717004283
Male,Gay/Lesbian,Hispanic,Master's degree,Covered,US Citizen,469.041575982343,2,1.0508024183819737,8.603701654473312
Male,Gay/Lesbian,White,Master's degree,Covered,US Citizen,228.0350850198276,2,0.24696406164683565,7.692989675955626
Female,Gay/Lesbian,Hispanic,Less than a high school diploma,Covered,US Citizen,275.68097504180446,9,8.722840290324081,-2.712138984164636
Male,Gay/Lesbian,Hispanic,Bachelor's degree,Covered,US Citizen,331.66247903554,2,2.1041694276324954,7.792421930469866
Male,Gay/Lesbian,White,Master's degree,Covered,US Citizen,212.13203435596427,2,0.21749375000307858,7.665091662145364
Male,Gay/Lesbian,White,Master's degree,Covered,US Citizen,200,2,0.19900474456304834,7.642736192942335
Male,Gay/Lesbian,White,GED or equivalent,Covered,US Citizen,173.20508075688772,2,-0.21525630068563434,6.8332020466903565
Male,Gay/Lesbian,White,"Some college, no degree",Covered,US Citizen,447.21359549995793,7,-1.0056314124103916,7.520481550733003
Male,Gay/Lesbian,White,Bachelor's degree,Covered,US Citizen,244.94897427831782,2,1.0965323730297407,7.006649050268621
Female,Gay/Lesbian,Black/African American,"Some college, no degree",Covered,US Citizen,244.94897427831782,9,7.5200704265879965,-4.167556580782134
Male,Gay/Lesbian,White,GED or equivalent,Covered,US Citizen,109.54451150103323,2,-0.29423216859745527,6.861073381208252
Male,Gay/Lesbian,White,High school graduate,Covered,US Citizen,256.2869485557156,4,0.11579678112910934,5.8639961043224735
Female,Gay/Lesbian,Black/African American,Bachelor's degree,Covered,Non-US Citizen,387.2983346207417,9,8.750028509109791,-4.226361779828556
Female,Gay/Lesbian,White,"Some college, no degree",Covered,US Citizen,314.6426544510455,9,7.1183030057953305,-2.6655027967841494
Male,Gay/Lesbian,White,Master's degree,Covered,US Citizen,469.041575982343,2,0.19436753885069336,8.257711324603918
Female,Gay/Lesbian,White,Bachelor's degree,Covered,US Citizen,194.93588689617928,3,7.508276568580586,-1.4743004354274338
Female,Gay/Lesbian,White,"Some college, no degree",Covered,US Citizen,173.20508075688772,1,6.870562834798029,-2.9387942125604387
Female,Gay/Lesbian,White,Master's degree,Covered,US Citizen,353.5533905932738,2,7.127490733330445,0.15931081367687858
Female,Gay/Lesbian,Asian,Bachelor's degree,Covered,US Citizen,223.60679774997897,9,8.321578577082944,-1.6951527044923376
Female,Gay/Lesbian,Black/African American,"Some college, no degree",Covered,US Citizen,223.60679774997897,9,7.491053862070899,-4.172075649110397
Female,Gay/Lesbian,Black/African American,"Some college, no degree",Covered,US Citizen,367.4234614174767,9,7.66481496694187,-4.290695945614871
Male,Gay/Lesbian,White,Bachelor's degree,Covered,US Citizen,118.32159566199232,2,0.9798556425008782,6.9592237360672184
Female,Gay/Lesbian,Black/African American,"Some college, no degree",Covered,US Citizen,100,9,7.424453465482559,-4.281895885673119
Female,Gay/Lesbian,White,"Some college, no degree",Covered,US Citizen,167.33200530681512,1,6.881944933408062,-2.9448168499497345
Male,Gay/Lesbian,Hispanic,Master's degree,Not covered,Non-US Citizen,141.4213562373095,10,-8.145974164597485,0.2988413263814783
Female,Gay/Lesbian,White,High school graduate,Not covered,US Citizen,144.9137674618944,8,-5.243703188106901,-2.7847491260166133
Female,Gay/Lesbian,American Indian and Alaska Native,"Some college, no degree",Not covered,US Citizen,126.49110640673517,8,-4.733905555096081,-5.264392195982932
Female,Gay/Lesbian,White,Master's degree,Not covered,Non-US Citizen,273.8612787525831,8,-5.574744515731955,-1.3799798552862175
Male,Gay/Lesbian,Hispanic,"Some college, no degree",Not covered,US Citizen,248.99799195977465,7,-5.377667513958774,3.2999122767559266
Female,Gay/Lesbian,Hispanic,High school graduate,Not covered,US Citizen,158.11388300841898,8,-5.778328310352566,-3.707348291359509
Female,Gay/Lesbian,American Indian and Alaska Native,Master's degree,Not covered,US Citizen,331.66247903554,8,-5.205495701319918,-5.3522692608561755
Male,Gay/Lesbian,White,High school graduate,Not covered,US Citizen,173.20508075688772,8,-3.1406184426025976,2.972393633228998
Male,Gay/Lesbian,American Indian and Alaska Native,"Some college, no degree",Not covered,US Citizen,194.93588689617928,7,-5.24516410667151,3.462276261764936
Male,Gay/Lesbian,White,Associate degree,Not covered,US Citizen,154.90319557710873,6,-3.8523469674820405,2.4388827667859365
Male,Gay/Lesbian,White,High school graduate,Not covered,US Citizen,161.24515496597098,8,-3.1504079999756174,2.961068792176072
Female,Gay/Lesbian,Hispanic,High school graduate,Not covered,US Citizen,139.64240043768942,8,-5.794760659708947,-3.6982804125926956
Female,Gay/Lesbian,White,Associate degree,Not covered,Non-US Citizen,126.49110640673517,8,-5.488212987786726,-1.3778257346795568
Male,Gay/Lesbian,Black/African American,High school graduate,Not covered,Non-US Citizen,141.4213562373095,10,-7.471425605569754,0.49733153589557744
Male,Gay/Lesbian,White,"Some college, no degree",Not covered,US Citizen,278.71311415145146,7,-4.354905087273568,3.401258094903737
Female,Gay/Lesbian,American Indian and Alaska Native,Bachelor's degree,Not covered,US Citizen,216.79483388678798,8,-4.972946224822536,-4.770293969108975
Female,Gay/Lesbian,Black/African American,Associate degree,Not covered,US Citizen,202.48456731316588,5,-3.806052672889956,-3.8314927631901385
Male,Gay/Lesbian,White,"Some college, no degree",Not covered,US Citizen,346.41016151377545,7,-4.347177664699028,3.5723946644064104
Female,Gay/Lesbian,Black/African American,"Some college, no degree",Not covered,US Citizen,273.8612787525831,9,-3.4713917990994,-4.725689887065706
Female,Gay/Lesbian,White,Bachelor's degree,Not covered,US Citizen,158.11388300841898,8,-4.507260685927727,-2.8305052493909657
Female,Gay/Lesbian,Black/African American,Bachelor's degree,Not covered,US Citizen,178.88543819998318,5,-4.236922574564812,-3.999057203644501
Male,Gay/Lesbian,Black/African American,GED or equivalent,Not covered,US Citizen,44.721359549995796,7,-5.55992271787938,1.7973262721369168
Male,Gay/Lesbian,Hispanic,High school graduate,Not covered,Non-US Citizen,187.08286933869707,10,-8.078697542888184,0.10007304609404703
Male,Gay/Lesbian,White,High school graduate,Not covered,US Citizen,200,8,-3.129928828279351,2.9994403938664562
Female,Gay/Lesbian,Hispanic,High school graduate,Not covered,US Citizen,181.6590212458495,8,-5.76362659644176,-3.7341487549467773
Female,Gay/Lesbian,Hispanic,"Some college, no degree",Not covered,US Citizen,278.4582553992609,7,-3.9859443707969544,-5.334996479701947
Female,Gay/Lesbian,Black/African American,High school graduate,Not covered,US Citizen,244.94897427831782,8,-4.775384740740682,-3.797889922097645
Female,Gay/Lesbian,Black/African American,Bachelor's degree,Not covered,US Citizen,200,5,-4.2119555653454865,-4.015234880502807
Male,Gay/Lesbian,White,"Some college, no degree",Not covered,US Citizen,291.547594742265,7,-4.344997803377039,3.4313435134033106
Male,Gay/Lesbian,White,"Some college, no degree",Not covered,US Citizen,0,7,-4.503687304987765,3.1659402671265866
Male,Straight,White,Bachelor's degree,Covered,US Citizen,469.041575982343,3,2.812922759541803,5.530721525097677
Female,Straight,White,Master's degree,Covered,US Citizen,132.29890400150714,3,5.735591598833235,2.2401920326476774
Male,Straight,White,High school graduate,Covered,US Citizen,223.60679774997897,4,1.382955167710401,4.534134063799589
Male,Straight,Black/African American,High school graduate,Covered,US Citizen,120,4,0.29271289635263126,4.262052959980957
Male,Straight,White,High school graduate,Covered,US Citizen,244.94897427831782,4,1.436912580999011,4.523500749803984
Male,Straight,White,Associate degree,Covered,US Citizen,286.35642126552705,4,2.6002662463520143,4.72145117409186
Female,Straight,White,High school graduate,Covered,US Citizen,316.22776601683796,3,4.56414230077071,2.288894172162502
Male,Straight,White,GED or equivalent,Covered,US Citizen,200,4,1.672792719288826,5.2779127326157145
Female,Straight,White,Master's degree,Covered,US Citizen,412.31056256176606,3,5.760222734551517,1.8625968480582145
Male,Straight,Hispanic,Bachelor's degree,Covered,US Citizen,260.76809620810593,3,3.2867804183069356,6.900966718795251
Male,Straight,White,High school graduate,Covered,US Citizen,346.41016151377545,4,1.7139924882872495,4.4916486724571225
Male,Straight,White,Bachelor's degree,Covered,US Citizen,300,3,2.570521309282763,5.534642423601014
Female,Straight,White,Master's degree,Covered,US Citizen,353.5533905932738,3,5.671164662675203,1.9416736695453078
Female,Straight,Hispanic,"Some college, no degree",Covered,US Citizen,236.64319132398464,9,5.684013040458858,-5.471186733789653
Female,Straight,Black/African American,High school graduate,Covered,US Citizen,146.9693845669907,9,1.8191666053300852,-3.0997522642620683
Female,Straight,White,Bachelor's degree,Covered,US Citizen,250.99800796022265,3,4.000270340141882,1.2180256544307468
Female,Straight,White,Professional school degree,Covered,US Citizen,469.041575982343,3,5.072212924842904,1.619231698515563
Male,Straight,Asian,Associate degree,Covered,US Citizen,469.041575982343,4,3.803614330248796,5.012252477604575
Male,Straight,White,Associate degree,Covered,US Citizen,316.22776601683796,4,2.66551852311163,4.728986987201524
Female,Straight,White,Master's degree,Covered,US Citizen,346.41016151377545,3,5.646748812966169,1.9636171527180466
Female,Straight,White,Bachelor's degree,Covered,US Citizen,254.95097567963924,3,4.006851442256115,1.2219623184307726
Male,Straight,Asian,"Some college, no degree",Covered,US Citizen,308.2207001484488,4,4.079650568923114,5.121816319084946
Male,Straight,White,Bachelor's degree,Covered,US Citizen,328.38392165268993,3,2.6087478325953017,5.517744367811826
Female,Straight,White,"Some college, no degree",Covered,US Citizen,469.041575982343,3,5.456418932971962,1.0025895317233107
Male,Straight,Hispanic,Less than a high school diploma,Covered,US Citizen,223.60679774997897,4,3.711299621880038,6.746661016078339
Female,Straight,White,Bachelor's degree,Covered,US Citizen,469.041575982343,3,4.278596700780732,1.3535072969616582
Female,Straight,Black/African American,"Some college, no degree",Covered,US Citizen,387.2983346207417,9,6.6515895062312405,-5.077185708062569
Female,Straight,White,GED or equivalent,Covered,US Citizen,254.95097567963924,3,4.622625367492098,2.238708409412168
Female,Straight,White,Associate degree,Covered,US Citizen,212.13203435596427,3,3.99449426072519,2.2629059143771
Female,Straight,White,"Some college, no degree",Covered,US Citizen,282.842712474619,3,5.294377230807092,0.810136686775983
Female,Straight,Asian,Bachelor's degree,Not covered,Non-US Citizen,264.5751311064591,3,-9.702466478691228,-2.409012990340144
Female,Straight,Hispanic,Bachelor's degree,Not covered,Non-US Citizen,139.64240043768942,10,-9.8728477028086,-1.6847393632545649
Male,Straight,White,"Some college, no degree",Not covered,US Citizen,316.22776601683796,7,-3.2686558335123608,4.137423619958121
Female,Straight,Hispanic,Less than a high school diploma,Not covered,Non-US Citizen,100,10,-9.956607514161547,-1.0096995528623482
Female,Straight,Hispanic,Less than a high school diploma,Not covered,Non-US Citizen,223.60456167082103,10,-9.886499956313251,-1.0583270853344608
Female,Straight,White,"Some college, no degree",Not covered,US Citizen,282.842712474619,7,0.8936596968952739,-0.5476218351070958
Male,Straight,White,High school graduate,Not covered,US Citizen,353.5533905932738,4,-1.8045685112174155,3.6074435800196127
Male,Straight,Hispanic,Less than a high school diploma,Not covered,Non-US Citizen,223.60679774997897,10,-9.56442712487253,-0.11710565548753675
Male,Straight,Hispanic,Less than a high school diploma,Not covered,Non-US Citizen,100,10,-9.59977953995231,-0.12497004363790726
Male,Straight,Hispanic,Bachelor's degree,Not covered,US Citizen,236.64319132398464,10,3.356855582767751,7.406401494655942
Male,Straight,White,High school graduate,Not covered,US Citizen,134.3354011420668,4,-1.990975724735379,3.704006898105087
Female,Straight,Hispanic,Less than a high school diploma,Not covered,Non-US Citizen,100,10,-9.957050941453975,-1.005265126695942
Female,Straight,White,Bachelor's degree,Not covered,US Citizen,273.8612787525831,3,1.5400801685996404,0.3729705554984232
Female,Straight,Hispanic,Master's degree,Not covered,US Citizen,300,3,-3.028376013249832,-6.741184857247793
Female,Straight,Hispanic,High school graduate,Not covered,Non-US Citizen,244.94897427831782,10,-9.212904603930854,-1.5490901100773102
Male,Straight,Hispanic,Less than a high school diploma,Not covered,Non-US Citizen,203.86760409638407,10,-9.528493953320707,-0.1315180166154058
Female,Straight,Asian,High school graduate,Not covered,Non-US Citizen,164.31676725154983,10,-9.407869185931423,-2.2071626378354563
Male,Straight,White,Less than a high school diploma,Not covered,US Citizen,100,6,-2.5969550815913056,4.691517499441839
Male,Straight,Hispanic,High school graduate,Not covered,Non-US Citizen,187.08286933869707,10,-8.797528188419832,-0.4446261832317948
Male,Straight,Hispanic,High school graduate,Not covered,Non-US Citizen,151.65750888103102,10,-8.792819797862835,-0.44005642449640103
Female,Straight,Black/African American,Master's degree,Not covered,US Citizen,234.5207879911715,5,-2.908723833782079,-6.262883335796927
Male,Straight,Black/African American,High school graduate,Not covered,US Citizen,186.94116721578476,10,-1.2236532768392112,3.744133421935013
Male,Straight,American Indian and Alaska Native,Less than a high school diploma,Not covered,US Citizen,173.20508075688772,10,-2.9583501278461406,5.215748621744325
Male,Straight,White,GED or equivalent,Not covered,US Citizen,151.65750888103102,6,-2.21663040454244,4.452773818092232
Female,Straight,White,Associate degree,Not covered,US Citizen,223.60679774997897,3,0.8389172661021818,0.10939379127079957
Female,Straight,White,Bachelor's degree,Not covered,US Citizen,360.5551275463989,3,1.6395308325453477,0.44673100862352777
Female,Straight,Black/African American,"Some college, no degree",Not covered,US Citizen,200,5,-2.395266618687699,-5.494246271312281
Female,Straight,Hispanic,High school graduate,Not covered,Non-US Citizen,181.6590212458495,10,-9.164783061151855,-1.528132627031473
Female,Straight,Hispanic,"Some college, no degree",Not covered,US Citizen,173.20508075688772,5,-1.8354836885512975,-6.1096064272559625
Female,Straight,Black/African American,"Some college, no degree",Not covered,US Citizen,232.379000772445,5,-2.436760317345001,-5.531071205455784
=======
Female,Bisexual,Hispanic,Bachelor's degree,Covered,Non-US Citizen,223.60679774997897,1,2.367948439470506,8.253702392694802
Female,Bisexual,White,High school graduate,Covered,US Citizen,223.60679774997897,2,4.264116766697484,5.768119064122567
Female,Bisexual,White,Master's degree,Covered,US Citizen,208.806130178211,2,5.094777610409983,5.348998189860949
Female,Bisexual,White,Doctoral degree,Covered,US Citizen,306.59419433511783,2,5.523496178468597,5.695039349685823
Female,Bisexual,Hispanic,High school graduate,Covered,US Citizen,244.94897427831782,2,2.8544084622568326,6.88868810442043
Male,Bisexual,White,Associate degree,Covered,Non-US Citizen,264.5751311064591,3,5.9372280392411385,-1.6287925796837424
Female,Bisexual,White,Associate degree,Covered,US Citizen,264.5751311064591,2,5.617991402730938,5.096289496341437
Female,Bisexual,Black/African American,High school graduate,Covered,US Citizen,158.11388300841898,2,3.4413545672533234,6.674123809828777
Female,Bisexual,White,High school graduate,Covered,US Citizen,173.20508075688772,2,4.2035961859216995,5.833037699805873
Female,Bisexual,Black/African American,"Some college, no degree",Covered,US Citizen,83.66600265340756,2,4.17208258447113,7.549463201462882
Female,Bisexual,White,Bachelor's degree,Covered,US Citizen,104.88088481701516,2,4.200927522588407,4.696586008826033
Male,Bisexual,Hispanic,High school graduate,Covered,US Citizen,141.4213562373095,2,1.017951318080917,6.750848081754275
Female,Bisexual,Black/African American,High school graduate,Covered,US Citizen,158.11388300841898,2,3.390769552674137,6.601255910979952
Female,Bisexual,White,"Some college, no degree",Covered,US Citizen,141.4213562373095,2,4.987577500045375,6.719840371339758
Male,Bisexual,Hispanic,Bachelor's degree,Covered,US Citizen,314.00636936215164,4,0.35839499348666765,6.6613003214633375
Female,Bisexual,Hispanic,"Some college, no degree",Covered,US Citizen,469.041575982343,2,3.958600798927366,8.266843112839396
Male,Bisexual,White,Associate degree,Covered,US Citizen,316.22776601683796,3,5.479943333175407,-1.354329911882653
Female,Bisexual,White,Associate degree,Covered,US Citizen,424.26406871192853,2,5.833251119275437,4.998602549513272
Female,Bisexual,White,High school graduate,Covered,US Citizen,316.22776601683796,2,4.388622493365367,5.716337970159752
Female,Bisexual,White,Master's degree,Covered,US Citizen,316.22776601683796,2,5.224203393812475,5.286973011858261
Female,Bisexual,White,High school graduate,Covered,US Citizen,325.5764119219941,2,4.372930353322408,5.730484848588771
Female,Bisexual,Asian,"Some college, no degree",Covered,Non-US Citizen,176.0681686165901,2,2.3672364613535355,8.767316239531446
Male,Bisexual,Asian,Bachelor's degree,Covered,US Citizen,184.39088914585776,4,-0.13672053859090785,6.774646924902233
Female,Bisexual,White,"Some college, no degree",Covered,US Citizen,173.20508075688772,2,4.997501559430186,6.626082169617745
Female,Bisexual,American Indian and Alaska Native,High school graduate,Covered,US Citizen,158.11388300841898,2,3.3785559811616253,6.443537042379308
Male,Bisexual,Hispanic,High school graduate,Covered,US Citizen,273.8612787525831,2,0.9270072538416063,6.682345313517753
Female,Bisexual,Hispanic,"Some college, no degree",Covered,US Citizen,144.9137674618944,2,3.8614087054851343,7.991849520702152
Female,Bisexual,White,GED or equivalent,Covered,US Citizen,187.08286933869707,2,5.228137830504246,5.9017088197225585
Female,Bisexual,White,Bachelor's degree,Covered,US Citizen,187.08286933869707,2,4.274155378856445,4.733345568611604
Male,Bisexual,Asian,Doctoral degree,Covered,Non-US Citizen,128.68177804180357,2,1.1654258988063944,8.578304092842574
Female,Bisexual,White,Less than a high school diploma,Not covered,US Citizen,171.8865905182833,5,-7.13256817137687,-0.7150576113664414
Male,Bisexual,White,"Some college, no degree",Not covered,US Citizen,202.48456731316588,6,0.07129969649852272,-5.141121871613935
Female,Bisexual,White,"Some college, no degree",Not covered,US Citizen,135.38463723776047,5,-6.36512702759036,-1.3340922566939812
Female,Bisexual,Hispanic,Less than a high school diploma,Not covered,Non-US Citizen,89.37561188601732,7,-6.703427493811331,-5.150150412792218
Male,Bisexual,White,"Some college, no degree",Not covered,US Citizen,309.83866769659335,6,-0.028619952997723935,-5.234381831381848
Female,Bisexual,Black/African American,Associate degree,Not covered,US Citizen,194.93588689617928,5,-4.953753819630591,0.17116394520728004
Female,Bisexual,White,"Some college, no degree",Not covered,US Citizen,264.5751311064591,5,-6.393736169946858,-1.5161647426441545
Female,Bisexual,Black/African American,"Some college, no degree",Not covered,US Citizen,172.8583234906552,8,-5.283014696607943,-1.1419952705885505
Female,Bisexual,White,High school graduate,Not covered,US Citizen,101.9803902718557,5,-6.003149410207942,-0.1592916546604869
Female,Bisexual,Hispanic,"Some college, no degree",Not covered,US Citizen,173.20508075688772,5,-5.840281754549709,-2.5886826724736407
Female,Bisexual,Black/African American,Less than a high school diploma,Not covered,US Citizen,0,8,-5.5574598336029855,0.619674010735146
Female,Bisexual,White,GED or equivalent,Not covered,US Citizen,113.55175031676086,5,-7.100516402549284,-0.1306694361367143
Male,Bisexual,White,"Some college, no degree",Not covered,US Citizen,94.86832980505137,6,0.1671402770240969,-5.3583440411230034
Male,Bisexual,Black/African American,High school graduate,Not covered,US Citizen,387.2983346207417,5,-1.4611956625222118,-3.591692433581933
Female,Bisexual,American Indian and Alaska Native,"Some college, no degree",Not covered,US Citizen,148.32396974191326,5,-5.600217046224666,-1.9229390962709851
Male,Bisexual,White,High school graduate,Not covered,US Citizen,200,5,-0.3319256088741975,-3.587728821720844
Female,Bisexual,Black/African American,High school graduate,Not covered,US Citizen,161.24515496597098,5,-4.927349900973364,0.062265585355948484
Female,Bisexual,White,High school graduate,Not covered,US Citizen,200,5,-5.817466068583361,-0.2597562588870823
Female,Bisexual,White,Associate degree,Not covered,US Citizen,141.4213562373095,5,-6.623451580887366,-0.08396920179377035
Female,Bisexual,Hispanic,"Some college, no degree",Not covered,US Citizen,244.94897427831782,5,-5.832619033525005,-2.649438378430634
Female,Bisexual,White,Less than a high school diploma,Not covered,US Citizen,109.54451150103323,5,-7.184714413723491,-0.6174749227046935
Male,Bisexual,White,High school graduate,Not covered,US Citizen,187.08286933869707,5,-0.35026804021963576,-3.5666027380644794
Female,Bisexual,White,"Some college, no degree",Not covered,US Citizen,176.0681686165901,5,-6.3281477720857024,-1.3521901570189012
Male,Bisexual,White,Associate degree,Not covered,US Citizen,207.3644135332772,5,-0.06119687702760657,-4.271642970278708
Male,Bisexual,American Indian and Alaska Native,High school graduate,Not covered,US Citizen,109.54451150103323,5,-1.1400807411601521,-3.7270229992734656
